金碧路
古方路
双丁路
淀山湖大道
银山路
升平街
生产街
汇腾路
南八灶街
茹水路
园一路
塘子泾
金山大道
龙宇路
广通路
腾行路
革新路
卧龙路
浦祥路
宏雅路
青厦路
水闸北路
车站东路
河东路
启宁路
南卫路
华和路
紫苑路
申长路
俞家埭路
东平北路
伟德路
沈徐路
绣川路
和佳路
双坪路
新雅东路
宾南路
渡桥路
浦秀北路
翠柏路
新环东路
拱晨路
拱泰路
汝南街
喜泉路
湖堤路
依安路
金平路
静宁路
华戴路
学府街
乐惠路
皇庆路
金珠路
崇信路
银翔路
古漪园路
涞亭北路
翔峰路
新中街
新镇街
老朱青路
石家浜路
诸陆西路
华戴路
瑞建路
东西巷街
曙建路
平陆路
城松路
孟将堂路
徐泾西路
新柘东路
沙家浜路
小闸镇路
丰皓路
制造局后街
锦州湾路
安谐南路
崧子浦路
金溪路
欢海路
勤政路
先棉祠街
张墅一路
龙航路
武乡南路
古漪园路
赵屯浦路
盈清路
徐泾西路
光昊路
小园浜路
汇豪路
华和路
走马塘路
月辉路
树屏东路
市京路
远香湖路
沈徐路
珠安路
崧泽大道
光昊路
沿港河路
永旺路
思学路
川和路
荣科路
西河浜路
德淳路
华安路
环科路
川和路
罗贤路
康文路
祁真路
宁虹路
浦泉路
东平南路
莲花山路
邱家港路
浦祥路
佳杰路
安通路
裕展路
安振路
裕洲路
裕盛路
安若路
裕国路
安寓路
裕国路
裕政路
瑞宁路
金杰路
景谷中路
曙建路
曲惠路
双坪路
树屏路
民悦街
陈翔公路
洞坤路
蒲汇路
翔峰路
平原街
翔昆路
新育路
新镇街
诸陆西路
和平街
润业路
嘉安公路
怀安街
糖坊街
鹤恒路
川和路
蒲淞北路
富贵东道
美康路
祁真路
海乐路
高州路
伟成路
高州路
陈镇路
南安德路
康年路
水洞港路
树屏路
瞿门路
海顺路
银珠路
市河街
东平南路
瑞丰路
金桥横街
绿菊路
王桥街
宗家宅路
蒙山北路
美兰湖大道
城中路
北市街
东南路
顾荻路
高竹路
拱海路
奉浦大道
淡家浜街
菊泉街
秀州街
共和街
林荫大道
众安街
钦殿街
石潭街
杭桂路
乐秀路
南市街
申长路
华美西路
陈行街
丰皓路
盘安路
迎春街
中下塘街
彤闻路
绿地大道
高青路
政和路
兰溪路
东外街
江桥万达金街
安研路
斜土路
东三街
海汇街
马陆街
永嘉路
阜康西路
首善街
绥化路
船山街
新南街
政悦路
红松东路
美丹路
金园一路
机场东路
浚浦局路
中原路
殷行路
白城路
开鲁路
包头路
世界路
市光路
民京路
民庆路
国和路
嫩江路
市兴路
民壮路
恒仁路
民府路
清源环路
民星路
政治路
长海路
政府路
